Jenis kelamin,Angkatan,Saya memahami data apa saja yang dikategorikan sebagai data pribadi,Saya memahami bahwa data pribadi bisa disalahgunakan jika tidak dilindungi dengan baik,Saya memahami bahwa data pribadi bisa disalahgunakan jika tidak dilindungi dengan baik,Saya dapat membedakan data pribadi yang sensitif dan tidak sensitif,Saya menyadari bahwa menggunakan aplikasi/website tertentu dapat meningkatkan risiko kebocoran data pribadi.,Saya tahu bahwa memberikan izin akses tanpa membaca detailnya dapat meningkatkan risiko kebocoran data,Saya memahami potensi bahaya pencurian data pribadi melalui aplikasi pihak ketiga,Saya mengetahui bahwa data pribadi dapat digunakan untuk tujuan yang tidak saya setujui,Saya sering menggunakan Google SSO untuk login ke aplikasi atau website,Saya merasa Google SSO lebih praktis dibandingkan metode login lain,Saya lebih memilih Google SSO daripada membuat akun baru di aplikasi,Saya merasa Google SSO membantu menghemat waktu saat login,Saya menggunakan Google SSO di berbagai aplikasi ,Saya memahami fungsi utama Google SSO sebagai metode login,Saya menyadari bahwa Google SSO menyimpan data login saya untuk mempermudah akses ke aplikasi,Saya mengetahui bahwa Google SSO membutuhkan izin untuk mengakses data tertentu,Saya tahu bagaimana Google SSO mengelola informasi login saya,Saya menyadari bahwa akun Google milik saya telah terintegrasi dengan banyak aplikasi pihak ketiga,Saya meyakini bahwa Google SSO belum tentu lebih aman dibandingkan metode login lainnya,Saya merasa nyaman menggunakan Google SSO untuk login ke berbagai aplikasi,Saya meyakini bahwa Google SSO rawan menyalahgunakan data pribadi saya,Saya meyakini bahwa data pribadi saya belum tentu terlindungi saat menggunakan Google SSO,Saya merasa khawatir data saya disalahgunakan oleh pihak ketiga melalui Google SSO,Saya merasa Google SSO memiliki potensi risiko kebocoran data pribadi,Saya merasa khawatir bahwa data pribadi saya dapat dicuri melalui Google SSO,Saya selalu membaca izin yang diminta oleh aplikasi sebelum menggunakan Google SSO,Saya memeriksa data apa saja yang diakses oleh aplikasi melalui Google SSO,Saya hanya menggunakan Google SSO jika izin aksesnya sesuai kebutuhan aplikasi,Saya selalu mencabut akses aplikasi yang tidak lagi saya gunakan melalui akun Google saya,Saya mengganti kata sandi Google secara rutin untuk menjaga keamanan data pribadi,Saya menggunakan metode autentikasi dua faktor untuk akun Google saya,Saya mengevaluasi aplikasi yang terhubung dengan Google SSO secara berkala
Laki-laki,2023,4,4,4,4,4,4,4,4,2,3,2,3,3,3,3,3,3,3,2,3,2,3,4,3,4,4,4,4,4,4,4,4
Laki-laki,2023,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,3,4,3,2,3,3,3,4,4,4,4,1,4,2
Laki-laki,2023,4,4,4,3,3,4,3,3,4,4,4,4,3,4,4,3,3,4,3,4,2,3,3,3,2,3,3,4,2,1,4,3
Laki-laki,2023,4,4,4,3,4,4,4,4,4,4,4,4,2,4,4,4,4,4,3,4,4,4,1,1,1,4,3,4,2,2,4,3
Perempuan,2023,3,4,4,4,3,4,4,4,4,4,3,4,4,4,4,3,2,4,4,4,3,3,3,4,4,2,2,3,1,1,4,2
Perempuan,2023,3,4,4,2,3,4,4,4,3,3,3,4,4,3,3,3,2,4,2,3,2,2,3,3,3,2,3,3,1,2,3,1
Laki-laki,2023,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,2
Laki-laki,2023,3,4,4,3,3,3,3,3,3,4,4,4,3,2,3,2,1,3,3,4,3,3,3,2,3,1,1,2,2,2,3,1
Laki-laki,2023,4,4,4,3,4,3,2,3,4,4,4,4,4,4,4,2,1,3,4,4,2,3,3,3,2,1,1,2,2,2,3,1
Laki-laki,2023,4,4,4,4,4,4,4,4,4,3,3,3,4,3,4,4,4,4,2,3,3,3,3,4,4,4,4,3,4,1,4,4
Laki-laki,2023,4,4,4,3,4,4,4,3,4,4,4,4,1,4,4,4,1,4,2,4,3,3,2,3,3,2,2,3,1,2,4,2
Laki-laki,2022,4,4,4,4,4,4,4,4,3,4,3,4,4,3,4,4,4,4,3,4,4,4,4,3,3,2,3,4,3,3,4,4
Perempuan,2023,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,3,3,3,4,4,4,4,4,4,4,3,3,3,4,4,4,3
Laki-laki,2022,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,3,3,3
Laki-laki,2023,4,4,4,4,4,4,3,4,4,4,3,3,3,4,3,4,2,2,2,3,3,3,3,3,3,1,2,3,2,2,3,2
